contract_id,report_date,default6
5433,2023-01-01,0
6875,2023-01-01,0
1476,2023-01-01,0
4469,2023-01-01,0
1330,2023-01-01,0
732,2023-01-01,0
2960,2023-01-01,0
3103,2023-01-01,1
6506,2023-01-01,0
2085,2023-01-01,0
5143,2023-01-01,1
4218,2023-01-01,0
2673,2023-01-01,0
5708,2023-01-01,0
2130,2023-01-01,0
3765,2023-01-01,1
3651,2023-01-01,0
6,2023-01-01,0
5095,2023-01-01,0
5462,2023-01-01,0
4299,2023-01-01,0
3007,2023-01-01,1
2065,2023-01-01,0
153,2023-01-01,0
2386,2023-01-01,0
7067,2023-01-01,0
2038,2023-01-01,0
2205,2023-01-01,0
3369,2023-01-01,0
2566,2023-01-01,0
6948,2023-01-01,0
1252,2023-01-01,0
7332,2023-01-01,0
3189,2023-01-01,0
6388,2023-01-01,0
2229,2023-01-01,0
2877,2023-01-01,0
3190,2023-01-01,1
3756,2023-01-01,0
3906,2023-01-01,0
3709,2023-01-01,0
3945,2023-01-01,0
3274,2023-01-01,0
208,2023-01-01,0
5764,2023-01-01,0
1910,2023-01-01,1
5630,2023-01-01,0
7151,2023-01-01,0
5011,2023-01-01,0
2054,2023-01-01,1
6175,2023-01-01,1
2606,2023-01-01,1
2405,2023-01-01,1
7336,2023-01-01,1
1776,2023-01-01,1
2604,2023-01-01,0
326,2023-01-01,0
6290,2023-01-01,0
752,2023-01-01,0
4695,2023-01-01,0
2607,2023-01-01,0
3418,2023-01-01,0
1771,2023-01-01,0
920,2023-01-01,0
5532,2023-01-01,0
98,2023-01-01,0
281,2023-01-01,0
2690,2023-01-01,0
2445,2023-01-01,0
4912,2023-01-01,0
4008,2023-01-01,0
7222,2023-01-01,0
1862,2023-01-01,0
3874,2023-01-01,0
5032,2023-01-01,0
440,2023-01-01,0
2328,2023-01-01,0
433,2023-01-01,1
4889,2023-01-01,0
1441,2023-01-01,0
2539,2023-01-01,0
3917,2023-01-01,0
5352,2023-01-01,0
573,2023-01-01,1
4161,2023-01-01,0
129,2023-01-01,0
6256,2023-01-01,0
2986,2023-01-01,0
1455,2023-01-01,1
2342,2023-01-01,1
2016,2023-01-01,1
4853,2023-01-01,0
6981,2023-01-01,0
5296,2023-01-01,0
686,2023-01-01,0
1168,2023-01-01,0
4986,2023-01-01,0
738,2023-01-01,0
5946,2023-01-01,0
4329,2023-01-01,0
3609,2023-01-01,0
4721,2023-01-01,0
3952,2023-01-01,0
1311,2023-01-01,0
4120,2023-01-01,0
6763,2023-01-01,0
7244,2023-01-01,0
4821,2023-01-01,0
5441,2023-01-01,1
3733,2023-01-01,0
2973,2023-01-01,0
5965,2023-01-01,0
3269,2023-01-01,0
5244,2023-01-01,1
4914,2023-01-01,1
3437,2023-01-01,1
7127,2023-01-01,0
3204,2023-01-01,1
5628,2023-01-01,1
3916,2023-01-01,0
3572,2023-01-01,0
5705,2023-01-01,0
3734,2023-01-01,1
7172,2023-01-01,0
6609,2023-01-01,0
6813,2023-01-01,1
6281,2023-01-01,0
1650,2023-01-01,0
1064,2023-01-01,0
3161,2023-01-01,0
28,2023-01-01,0
5803,2023-01-01,0
7081,2023-01-01,0
6565,2023-01-01,0
315,2023-01-01,0
3578,2023-01-01,0
2622,2023-01-01,0
5907,2023-01-01,0
1610,2023-01-01,0
1739,2023-01-01,0
3935,2023-01-01,0
5261,2023-01-01,1
2727,2023-01-01,0
482,2023-01-01,0
6236,2023-01-01,0
476,2023-01-01,0
4601,2023-01-01,0
3670,2023-01-01,0
4909,2023-01-01,0
5040,2023-01-01,0
3781,2023-01-01,0
1597,2023-01-01,0
1424,2023-01-01,0
1942,2023-01-01,1
4730,2023-01-01,0
2709,2023-01-01,0
623,2023-01-01,0
2403,2023-01-01,1
5951,2023-01-01,1
1483,2023-01-01,0
425,2023-01-01,0
567,2023-01-01,0
7183,2023-01-01,1
514,2023-01-01,1
2627,2023-01-01,0
783,2023-01-01,0
7117,2023-01-01,0
5775,2023-01-01,0
2255,2023-01-01,0
5501,2023-01-01,0
6257,2023-01-01,0
117,2023-01-01,0
6644,2023-01-01,1
3852,2023-01-01,0
5998,2023-01-01,0
4694,2023-01-01,0
3426,2023-01-01,0
6678,2023-01-01,0
2145,2023-01-01,0
7261,2023-01-01,0
1882,2023-01-01,1
7308,2023-01-01,0
6923,2023-01-01,1
661,2023-01-01,1
4157,2023-01-01,1
6041,2023-01-01,0
6033,2023-01-01,0
2978,2023-01-01,0
6890,2023-01-01,0
5643,2023-01-01,0
3754,2023-01-01,0
1139,2023-01-01,0
5409,2023-01-01,0
4429,2023-01-01,0
4147,2023-01-01,0
1655,2023-01-01,0
7278,2023-01-01,0
6854,2023-01-01,0
2365,2023-01-01,0
3033,2023-01-01,0
1276,2023-01-01,0
3344,2023-01-01,0
755,2023-01-01,0
3290,2023-01-01,0
1627,2023-01-01,0
5878,2023-01-01,0
1292,2023-01-01,0
7052,2023-01-01,0
1737,2023-01-01,0
4030,2023-01-01,0
4227,2023-01-01,0
3151,2023-01-01,0
1451,2023-01-01,0
6574,2023-01-01,1
4680,2023-01-01,1
3122,2023-01-01,1
1875,2023-01-01,1
592,2023-01-01,1
1868,2023-01-01,1
5185,2023-01-01,0
7053,2023-01-01,0
22,2023-01-01,0
4371,2023-01-01,0
7163,2023-01-01,0
5637,2023-01-01,0
6363,2023-01-01,0
4321,2023-01-01,0
751,2023-01-01,0
3832,2023-01-01,0
1261,2023-01-01,0
3668,2023-01-01,0
2860,2023-01-01,0
398,2023-01-01,0
4851,2023-01-01,0
3451,2023-01-01,0
4736,2023-01-01,0
2671,2023-01-01,0
4177,2023-01-01,0
4217,2023-01-01,0
3330,2023-01-01,0
2968,2023-01-01,0
3812,2023-01-01,0
4919,2023-01-01,0
5588,2023-01-01,0
1899,2023-01-01,0
2235,2023-01-01,0
2611,2023-01-01,0
2319,2023-01-01,0
4924,2023-01-01,0
1884,2023-01-01,0
1925,2023-01-01,0
2749,2023-01-01,0
1764,2023-01-01,0
2167,2023-01-01,0
6788,2023-01-01,0
880,2023-01-01,0
1052,2023-01-01,0
417,2023-01-01,0
6530,2023-01-01,0
7339,2023-01-01,1
6895,2023-01-01,0
2935,2023-01-01,0
1556,2023-01-01,0
7258,2023-01-01,0
2716,2023-01-01,0
5973,2023-01-01,0
6954,2023-01-01,0
59,2023-01-01,0
349,2023-01-01,0
6858,2023-01-01,0
4095,2023-01-01,0
9,2023-01-01,0
1429,2023-01-01,0
5997,2023-01-01,0
242,2023-01-01,0
2366,2023-01-01,0
1332,2023-01-01,0
4805,2023-01-01,0
2462,2023-01-01,0
5758,2023-01-01,0
770,2023-01-01,0
924,2023-01-01,0
411,2023-01-01,0
5253,2023-01-01,0
805,2023-01-01,0
3814,2023-01-01,0
4205,2023-01-01,0
4322,2023-01-01,0
2483,2023-01-01,1
6580,2023-01-01,0
1635,2023-01-01,1
887,2023-01-01,0
1589,2023-01-01,1
2480,2023-01-01,0
1915,2023-01-01,0
3797,2023-01-01,0
6029,2023-01-01,0
1205,2023-01-01,0
2474,2023-01-01,0
1946,2023-01-01,0
5914,2023-01-01,0
7084,2023-01-01,0
554,2023-01-01,0
134,2023-01-01,0
1398,2023-01-01,0
3724,2023-01-01,0
1399,2023-01-01,0
2057,2023-01-01,0
6671,2023-01-01,0
142,2023-01-01,0
1145,2023-01-01,0
1305,2023-01-01,0
1254,2023-01-01,0
5670,2023-01-01,0
6970,2023-01-01,0
179,2023-01-01,0
366,2023-01-01,0
6796,2023-01-01,0
561,2023-01-01,0
7334,2023-01-01,0
6225,2023-01-01,0
94,2023-01-01,1
4708,2023-01-01,0
2794,2023-01-01,0
474,2023-01-01,0
6620,2023-01-01,0
2239,2023-01-01,0
2141,2023-01-01,0
3062,2023-01-01,0
7170,2023-01-01,0
1997,2023-01-01,0
4773,2023-01-01,0
7323,2023-01-01,0
3585,2023-01-01,0
3656,2023-01-01,0
4917,2023-01-01,0
1040,2023-01-01,0
436,2023-01-01,0
826,2023-01-01,0
6820,2023-01-01,0
4292,2023-01-01,0
2557,2023-01-01,0
1931,2023-01-01,0
2280,2023-01-01,0
2465,2023-01-01,0
5710,2023-01-01,0
6219,2023-01-01,0
427,2023-01-01,0
255,2023-01-01,0
6556,2023-01-01,0
128,2023-01-01,0
5887,2023-01-01,0
5360,2023-01-01,0
4569,2023-01-01,0
5235,2023-01-01,0
1554,2023-01-01,0
1116,2023-01-01,0
3532,2023-01-01,0
2126,2023-01-01,0
1705,2023-01-01,0
4610,2023-01-01,0
6683,2023-01-01,0
1715,2023-01-01,0
362,2023-01-01,0
3320,2023-01-01,0
589,2023-01-01,0
6779,2023-01-01,0
2975,2023-01-01,0
1911,2023-01-01,0
5815,2023-01-01,0
2742,2023-01-01,1
1937,2023-01-01,0
6481,2023-01-01,0
6289,2023-01-01,0
3145,2023-01-01,0
